1	We use a number of interesting categories related to probability theory.	There exists a number of interesting categories related to probability theory.	E
2	We use a number of interesting categories related to probability theory.	There are no interesting categories related to probability theory.	C
3	We use a number of interesting categories related to probability theory.	There are no interesting categories related to topology.	N
4	A notion of central importance in categorical topology is that of topological functor.	Topological functor is a notion of categorical topology.	E
5	A notion of central importance in categorical topology is that of topological functor.	There are no notions of importance in categorical topology.	C
6	A notion of central importance in categorical topology is that of topological functor.	There are many  notions of central importance in categorical topology.	N
7	In the nilpotent case, this nerve is known to be a Kan complex.	There are nerves that are Kan complexes.	E
8	In the nilpotent case, this nerve is known to be a Kan complex.	In the nilpotent case, this nerve is not known to be a Kan complex.	C
9	In the nilpotent case, this nerve is known to be a Kan complex.	This nerve is not known to be a Kan complex.	N
10	We worked through numerous examples to demonstrate the power of these notions.	We worked through two examples to demonstrate the power of these notions.	E
11	We worked through numerous examples to demonstrate the power of these notions.	We did not work through numerous examples to demonstrate the power of these notions.	C
12	We worked through numerous examples to demonstrate the power of these notions.	We worked through more than 20 examples to demonstrate the power of these notions.	N
13	If the category is additive, we define a sheaf of categories of analytic functions.	If the category is additive, we define a sheaf of categories of functions.	E
14	If the category is additive, we define a sheaf of categories of analytic functions.	If the category is additive, we do not define a sheaf of categories of analytic functions.	C
15	If the category is additive, we define a sheaf of categories of analytic functions.	If the category is non-additive, we define a sheaf of categories of analytic functions.	N
16	We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	We can define analytic versions of Arakelov compactifications of affine arithmetic varieties.	E
17	We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	These relations cannot be used to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	C
18	We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	We use these relations to define analytic versions of  compactifications of non-varieties.	N
19	These functors are used in the paper only to prove Corollary~8.3.	These functors are used in the paper  to prove Corollary~8.3.	E
20	These functors are used in the paper only to prove Corollary~8.3.	These functors are not used in the paper  to prove Corollary~8.3.	C
21	These functors are used in the paper only to prove Corollary~8.3.	These natural transformations are used in the paper  to prove Corollary~8.5.	N
22	A proof of this corollary is given without details.	There exists a proof of this corollary.	E
23	A proof of this corollary is given without details.	There is no proof of this corollary without details.	C
24	A proof of this corollary is given without details.	A proof of this corollary is given without a computer program.	N
25	Here ``balanced'' can be omitted if the category is additive.	For additive categories ``balanced" can be omitted here.	E
26	Here ``balanced'' can be omitted if the category is additive.	Here ``balanced'' cannot be omitted if the category is additive.	C
27	Here ``balanced'' can be omitted if the category is additive.	Here ``balanced'' can be omitted if the category is multiplicative.	N
28	We introduce the notion of mutation pairs in pseudo-triangulated categories.	We introduce the notion of mutation pairs.	E
29	We introduce the notion of mutation pairs in pseudo-triangulated categories.	We cannot introduce the notion of mutation pairs in pseudo-triangulated categories.	C
30	We introduce the notion of mutation pairs in pseudo-triangulated categories.	We introduce the notation of mutation pairs in monoidal categories.	N
31	This result unifies many previous constructions of quotient triangulated categories.	This result unifies some previous constructions of quotient triangulated categories.	E
32	This result unifies many previous constructions of quotient triangulated categories.	This result is not related to any of the previous constructions of quotient triangulated categories.	C
33	This result unifies many previous constructions of quotient triangulated categories.	This result unifies all previous constructions of quotient triangulated categories.	N
34	We study extra assumptions on pretopologies that are needed for this theory.	We investigate additional assumptions on pretopologies that are needed for this theory.	E
35	We study extra assumptions on pretopologies that are needed for this theory.	However, we will not be concerned with extra assumptions on pretopologies needed for this theory.	C
36	We study extra assumptions on pretopologies that are needed for this theory.	We do not study the basic assumptions on pretopologies that are needed for this theory.	N
37	We check these extra assumptions in several categories with pretopologies.	We check these extra assumptions in at least one category with a pretopology.	E
38	We check these extra assumptions in several categories with pretopologies.	We will not check these extra assumptions in categories with pretopologies.	C
39	We check these extra assumptions in several categories with pretopologies.	We check these extra assumptions in  categories with tensor products.	N
40	Functors between groupoids may be localised at equivalences in two ways.	Functors between groupoids can be localised at equivalences.	E
41	Functors between groupoids may be localised at equivalences in two ways.	Unfortunately, it is not possible to localise functors between groupoids at equivalences.	C
42	Functors between groupoids may be localised at equivalences in two ways.	Localisation of functors between groupoids is used to prove Theorem 5.3.	N
43	We show that both approaches give equivalent bicategories.	Both approaches yield equivalent bicategories.	E
44	We show that both approaches give equivalent bicategories.	It was shown that these two approaches give bicategories with very different bicategorical properties.	C
45	We show that both approaches give equivalent bicategories.	Both approaches give the same bicategory.	N
46	In this paper, we use the language of operads to study open dynamical systems.	We study dynamical systems in this paper.	E
47	In this paper, we use the language of operads to study open dynamical systems.	We will not be concerned with the language of operads.	C
48	In this paper, we use the language of operads to study open dynamical systems.	The study of open dynamical systems requires the language of operads.	N
49	The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.	Wiring diagrams are related to the syntactic architecture of such interconnections.	E
50	The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.	Such interconnections lack any syntactic structure.	C
51	The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.	The only way to encode the syntactic structure of such interconnections is by means of the visual language of wiring diagrams.	N
